,Period,Truck#,Ship Date,Delivery Date,Trip#,Driver,Booking,Origin,Destination,Grand Total
0,01/01/2015 to 12/31/2015,185,02/06/2015,02/09/2015,47845,NEMA-POPO,999.0,"BOLINGBROOK, IL","HAZLETON, PA",69100.0
1,01/01/2015 to 12/31/2015,185,02/09/2015,02/10/2015,47917,NEMA-POPO,146.0,"ASHLEY, PA","CORTLAND, NY",69100.0
2,01/01/2015 to 12/31/2015,185,02/10/2015,02/11/2015,47944,NEMA-POPO,572.0,"SYRACUSE, NY","GRAND RAPIDS, MI",69100.0
3,01/01/2015 to 12/31/2015,185,02/11/2015,02/12/2015,48025,NEMA-POPO,889.0,"DETROIT, MI","STRATHAM, NH",69100.0
4,01/01/2015 to 12/31/2015,185,02/13/2015,02/16/2015,48063,NEMA-POPO,1271.0,"AUBURN, ME","MATTOON, IL",69100.0
5,01/01/2015 to 12/31/2015,185,02/16/2015,02/17/2015,48109,NEMA-POPO,415.0,"TEUTOPOLIS, IL","SAINT JOSEPH, MO",69100.0
6,01/01/2015 to 12/31/2015,185,02/17/2015,02/18/2015,48141,NEMA-POPO,581.0,"UNDERWOOD, IA","BEAVER DAM, WI",69100.0
7,01/01/2015 to 12/31/2015,185,02/18/2015,02/18/2015,48176,NEMA-POPO,137.0,"MARSHALL, WI","WHEELING, IL",69100.0
8,01/01/2015 to 12/31/2015,185,02/28/2015,03/05/2015,48588,STEV-YEAH,700.0,"WAUPACA, WI","PONTIAC, MI",69100.0
9,01/01/2015 to 12/31/2015,185,03/05/2015,03/06/2015,48589,STEV-YEAH,377.0,"PORT HURON, MI","BLUE ISLAND, IL",69100.0
10,01/01/2015 to 12/31/2015,185,03/07/2015,03/07/2015,48641,STEV-YEAH,240.0,"MINOOKA, IL","INDIANAPOLIS, IN",69100.0
11,01/01/2015 to 12/31/2015,185,03/07/2015,03/09/2015,48644,STEV-YEAH,370.0,"JACKSON CENTER, OH","CHICAGO, IL",69100.0
12,01/01/2015 to 12/31/2015,185,03/09/2015,03/11/2015,48739,STEV-YEAH,948.0,"SAINT CHARLES, IL","KINSTON, NC",69100.0
13,01/01/2015 to 12/31/2015,185,03/11/2015,03/13/2015,48932,STEV-YEAH,1230.0,"MUNCIE, IN","SAPULPA, OK",69100.0
14,01/01/2015 to 12/31/2015,185,03/16/2015,03/19/2015,49085,STEV-YEAH,484.0,"TULSA, OK","ALTOONA, IA",69100.0
15,01/01/2015 to 12/31/2015,185,03/19/2015,03/20/2015,49187,STEV-YEAH,1169.0,"EDDYVILLE, IA","GRIFTON, NC",69100.0
16,01/01/2015 to 12/31/2015,185,03/20/2015,03/21/2015,49195,STEV-YEAH,249.0,"GRIFTON, NC","ROSE HILL, NC",69100.0
17,01/01/2015 to 12/31/2015,185,03/23/2015,03/25/2015,49274,STEV-YEAH,1344.0,"SUFFOLK, VA","ELDORA, IA",69100.0
18,01/01/2015 to 12/31/2015,185,03/25/2015,03/26/2015,49337,STEV-YEAH,403.0,"DES MOINES, IA","CHICAGO, IL",69100.0
